IC,Pheno
Liver cell carcinoma,Growth salinity
Hepatocellular carcinoma,Growth salinity
Hepatoma,Maximum growth pH
Carcinoma in situ of breast,Maximum growth pH
Carcinoma in situ of cervix uteri,Growth salinity
severe dysplasia of cervix uteri,Growth salinity
Liver cell carcinoma,Growth salinity
Hepatocellular carcinoma,Growth salinity
Hepatoma,Maximum growth pH
Carcinoma in situ of breast,Maximum growth pH
Carcinoma in situ of cervix uteri,Growth salinity
severe dysplasia of cervix uteri,Growth salinity,
Liver cell carcinoma,Growth salinity
Hepatocellular carcinoma,Growth salinity
Hepatoma,Maximum growth pH
Carcinoma in situ of breast,Maximum growth pH
Carcinoma in situ of cervix uteri,Growth salinity
severe dysplasia of cervix uteri,Growth salinity
Liver cell carcinoma,Growth salinity
Hepatocellular carcinoma,Growth salinity
Hepatoma,Maximum growth pH
Carcinoma in situ of breast,Maximum growth pH
Carcinoma in situ of cervix uteri,Growth salinity
severe dysplasia of cervix uteri,Growth salinity,
Liver cell carcinoma,Growth salinity
Hepatocellular carcinoma,Growth salinity
Hepatoma,Maximum growth pH
Carcinoma in situ of breast,Maximum growth pH
Carcinoma in situ of cervix uteri,Growth salinity
severe dysplasia of cervix uteri,Growth salinity
Liver cell carcinoma,Growth salinity
Hepatocellular carcinoma,Growth salinity
Hepatoma,Maximum growth pH
Carcinoma in situ of breast,Maximum growth pH
Carcinoma in situ of cervix uteri,Growth salinity
severe dysplasia of cervix uteri,Growth salinity,
Liver cell carcinoma,Growth salinity
Hepatocellular carcinoma,Growth salinity
Hepatoma,Maximum growth pH
Carcinoma in situ of breast,Maximum growth pH
Carcinoma in situ of cervix uteri,Growth salinity
severe dysplasia of cervix uteri,Growth salinity
Liver cell carcinoma,Growth salinity
Hepatocellular carcinoma,Growth salinity
Hepatoma,Maximum growth pH
Carcinoma in situ of breast,Maximum growth pH
Carcinoma in situ of cervix uteri,Growth salinity
severe dysplasia of cervix uteri,Growth salinity,
Liver cell carcinoma,Growth salinity
Hepatocellular carcinoma,Growth salinity
Hepatoma,Maximum growth pH
Carcinoma in situ of breast,Maximum growth pH
Carcinoma in situ of cervix uteri,Growth salinity
severe dysplasia of cervix uteri,Growth salinity
Liver cell carcinoma,Growth salinity
Hepatocellular carcinoma,Growth salinity
Hepatoma,Maximum growth pH
Carcinoma in situ of breast,Maximum growth pH
Carcinoma in situ of cervix uteri,Growth salinity
severe dysplasia of cervix uteri,Growth salinity,
Liver cell carcinoma,Growth salinity
Hepatocellular carcinoma,Growth salinity
Hepatoma,Maximum growth pH
Carcinoma in situ of breast,Maximum growth pH
Carcinoma in situ of cervix uteri,Growth salinity
severe dysplasia of cervix uteri,Growth salinity
Liver cell carcinoma,Growth salinity
Hepatocellular carcinoma,Growth salinity
Hepatoma,Maximum growth pH
Carcinoma in situ of breast,Maximum growth pH
Carcinoma in situ of cervix uteri,Growth salinity
severe dysplasia of cervix uteri,Growth salinity,
Liver cell carcinoma,Growth salinity
Hepatocellular carcinoma,Growth salinity
Hepatoma,Maximum growth pH
Carcinoma in situ of breast,Maximum growth pH
Carcinoma in situ of cervix uteri,Growth salinity
severe dysplasia of cervix uteri,Growth salinity
Liver cell carcinoma,Growth salinity
Hepatocellular carcinoma,Growth salinity
Hepatoma,Maximum growth pH
Carcinoma in situ of breast,Maximum growth pH
Carcinoma in situ of cervix uteri,Growth salinity
severe dysplasia of cervix uteri,Growth salinity,
Liver cell carcinoma,Growth salinity
Hepatocellular carcinoma,Growth salinity
Hepatoma,Maximum growth pH
Carcinoma in situ of breast,Maximum growth pH
Carcinoma in situ of cervix uteri,Growth salinity
severe dysplasia of cervix uteri,Growth salinity
Liver cell carcinoma,Growth salinity
Hepatocellular carcinoma,Growth salinity
Hepatoma,Maximum growth pH
Carcinoma in situ of breast,Maximum growth pH
Carcinoma in situ of cervix uteri,Growth salinity
severe dysplasia of cervix uteri,Growth salinity,